"Tweet Id","Tweet URL","Tweet Posted Time","Tweet Content","Tweet Type",Client,"Retweets received","Likes received","User Id",Name,Username,"Verified or Non-Verified","Profile URL","Protected or Not Protected"
"""1159260970994360320""",https://twitter.com/katyperry/status/1159260970994360320,"2019-08-08 00:32:08","""100 million digital singles and still insecure 🤷🏼‍♀️ @ Capitol Records https://t.co/ap7pO0fWAc""",Tweet,Instagram,2376,16338,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1159162860003442688""",https://twitter.com/katyperry/status/1159162860003442688,"2019-08-07 18:02:16","""and now there's nothing left but #smalltalk☝🏼🌼 https://t.co/vN0khlXBSo https://t.co/jreWIw5O9T""",Tweet,"Twitter for iPhone",8811,40584,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1159132375390887936""",https://twitter.com/katyperry/status/1159132375390887936,"2019-08-07 16:01:08","""#SmallTalk https://t.co/Ux9mVfaGMX""",Tweet,"Twitter for iPhone",4364,22118,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1158921138015100928""",https://twitter.com/katyperry/status/1158921138015100928,"2019-08-07 02:01:45","""#SmallTalk https://t.co/c0t3TD5sVK""",Tweet,"Twitter for iPhone",6137,28493,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1158906024830492672""",https://twitter.com/katyperry/status/1158906024830492672,"2019-08-07 01:01:42","""#SmallTalk https://t.co/vhitNcxAkP""",Tweet,"Twitter for iPhone",4490,20815,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1158845655357374466""",https://twitter.com/katyperry/status/1158845655357374466,"2019-08-06 21:01:49","""#SmallTalk https://t.co/IpSL0aAu1t""",Tweet,"Twitter for iPhone",10643,48809,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1158815201262575616""",https://twitter.com/katyperry/status/1158815201262575616,"2019-08-06 19:00:48","""If you want to walk a mile in these Hudson shoes 💁🏼‍♀️ you better have (faux) crocodile skin. Rock out 🤘🏼 with your croc out 🐊 on this #ShoesdayTuesday @kpcollections https://t.co/4NRnDCeXcS""",Tweet,"Twitter for iPhone",778,8647,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1158408706641371136""",https://twitter.com/katyperry/status/1158408706641371136,"2019-08-05 16:05:32","""IT’S OFFICIAL, 3RD SEASON’S A CHARM! Excited to get the band back together with @LionelRichie and @LukeBryanOnline 🙌🏼 Get out there and audition y’all! 3rd season could be your charm✨#AmericanIdol #TheNextIdol https://t.co/r0n6vVMrbH""",Tweet,"Twitter for iPhone",1867,16530,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1155507682264145920""",https://twitter.com/katyperry/status/1155507682264145920,"2019-07-28 15:57:54","""♥️ happiness entrepreneurs ♥️ @ Spain https://t.co/foQ26o1ns6""",Tweet,Instagram,917,8731,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1154038438540148740""",https://twitter.com/katyperry/status/1154038438540148740,"2019-07-24 14:39:39","""Certainly fell down a rabbit hole watching your beautifully original versions of #NeverReallyOver on @youtube 🤗 Keep making them and I will for sure keep clicking 🧡 https://t.co/ur0OiE97MQ https://t.co/cNY2zy4xFB""",Tweet,"Twitter for iPhone",2465,22030,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1153810342717247495""",https://twitter.com/katyperry/status/1153810342717247495,"2019-07-23 23:33:17","""☀️ Heatwave? ☀️ Tie it back with these Scrunchie-inspired slides @kpcollections #ShoesdayTuesday

https://t.co/sULE6HYGYB https://t.co/blbTd1OWeI""",Tweet,"Twitter for iPhone",632,5573,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1152089976911228929""",https://twitter.com/katyperry/status/1152089976911228929,"2019-07-19 05:37:09","""He may be a liar but those hips don’t lie bb 💅🏻 https://t.co/equ7jFrkv3""",Tweet,"Twitter for iPhone",4733,39806,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1152066401806381059""",https://twitter.com/katyperry/status/1152066401806381059,"2019-07-19 04:03:29","""Went to the drug store for ONE box of tissues... Got this long ass receipt that is #NeverReallyOver🤷🏼‍♀😝 https://t.co/L1TE7qJIEd https://t.co/Mg0EtF32nA""",Tweet,"Twitter for iPhone",2731,14324,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1151976589900386304""",https://twitter.com/katyperry/status/1151976589900386304,"2019-07-18 22:06:36","""For your summer vacay needs, consider using https://t.co/1TO5WFg87M to send some of the money you're already spending to your favorite charities. You take the vacation, they make the donation. 🙏🏼""",Reply,"Twitter for iPhone",498,4343,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1151976518827925504""",https://twitter.com/katyperry/status/1151976518827925504,"2019-07-18 22:06:19","""Proud of my father, Keith for continuing to do the good work and being part of the launch of @charityprotrav ❤ https://t.co/Qi3NG19mXk""",Tweet,"Twitter for iPhone",969,9694,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1151220521167552513""",https://twitter.com/katyperry/status/1151220521167552513,"2019-07-16 20:02:15","""full moon = full mewd 🌚""",Tweet,"Twitter for iPhone",3443,27665,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
